,state,catId,catName,category
0,Santiago,1,Hyundai,154
1,Las Condes,1,Hyundai,34
2,Maipú,1,Hyundai,30
3,Providencia,1,Hyundai,28
4,La Florida,1,Hyundai,25
5,Ñuñoa,1,Hyundai,22
6,Vitacura,1,Hyundai,20
7,Quinta Normal,1,Hyundai,16
8,San Miguel,1,Hyundai,14
9,Independencia,1,Hyundai,13
10,San Bernardo,1,Hyundai,12
11,Quilicura,1,Hyundai,11
12,Pudahuel,1,Hyundai,11
13,Estación Central,1,Hyundai,11
14,La Cisterna,1,Hyundai,10
15,Cerrillos,1,Hyundai,8
16,Puente Alto,1,Hyundai,8
17,Conchalí,1,Hyundai,7
18,El Bosque,1,Hyundai,7
19,La Granja,1,Hyundai,7
20,La Pintana,1,Hyundai,7
21,Renca,1,Hyundai,6
22,La Reina,1,Hyundai,6
23,Lo Espejo,1,Hyundai,6
24,Otra,1,Hyundai,6
25,Lo Barnechea,1,Hyundai,5
26,Cerro Navia,1,Hyundai,5
27,Huechuraba,1,Hyundai,5
28,Lampa,1,Hyundai,4
29,Peñalolén,1,Hyundai,4
30,San Ramón,1,Hyundai,4
31,Lo Prado,1,Hyundai,4
32,Macul,1,Hyundai,4
33,Recoleta,1,Hyundai,4
34,Pedro Aguirre Cerda,1,Hyundai,3
35,Padre Hurtado,1,Hyundai,3
36,Colina,1,Hyundai,3
37,San Joaquín,1,Hyundai,3
38,Peñaflor,1,Hyundai,2
39,Talagante,1,Hyundai,1
40,Buin,1,Hyundai,1
41,Isla de Maipo,1,Hyundai,1
42,Melipilla,1,Hyundai,1
43,Santiago,3,Chevrolet,160
44,Providencia,3,Chevrolet,29
45,Ñuñoa,3,Chevrolet,23
46,La Florida,3,Chevrolet,19
47,Maipú,3,Chevrolet,16
48,La Cisterna,3,Chevrolet,16
49,Las Condes,3,Chevrolet,15
50,San Miguel,3,Chevrolet,13
51,Recoleta,3,Chevrolet,13
52,San Bernardo,3,Chevrolet,11
53,Quinta Normal,3,Chevrolet,10
54,Huechuraba,3,Chevrolet,9
55,Macul,3,Chevrolet,9
56,Quilicura,3,Chevrolet,8
57,Pudahuel,3,Chevrolet,8
58,Independencia,3,Chevrolet,8
59,Peñalolén,3,Chevrolet,8
60,Vitacura,3,Chevrolet,7
61,Otra,3,Chevrolet,7
62,San Ramón,3,Chevrolet,6
63,Conchalí,3,Chevrolet,6
64,Puente Alto,3,Chevrolet,6
65,San Joaquín,3,Chevrolet,6
66,Lampa,3,Chevrolet,6
67,La Granja,3,Chevrolet,5
68,Pedro Aguirre Cerda,3,Chevrolet,5
69,El Bosque,3,Chevrolet,5
70,Cerrillos,3,Chevrolet,5
71,La Pintana,3,Chevrolet,4
72,Estación Central,3,Chevrolet,4
73,Lo Prado,3,Chevrolet,4
74,La Reina,3,Chevrolet,4
75,Lo Barnechea,3,Chevrolet,3
76,Colina,3,Chevrolet,2
77,Cerro Navia,3,Chevrolet,1
78,Tiltil,3,Chevrolet,1
79,Lo Espejo,3,Chevrolet,1
80,Renca,3,Chevrolet,1
81,Padre Hurtado,3,Chevrolet,1
82,Melipilla,3,Chevrolet,1
83,Santiago,4,Kia,135
84,La Florida,4,Kia,24
85,Maipú,4,Kia,21
86,Providencia,4,Kia,18
87,Ñuñoa,4,Kia,18
88,Puente Alto,4,Kia,17
89,Las Condes,4,Kia,15
90,Quinta Normal,4,Kia,13
91,Vitacura,4,Kia,13
92,La Cisterna,4,Kia,12
93,Peñalolén,4,Kia,12
94,La Granja,4,Kia,11
95,El Bosque,4,Kia,11
96,San Ramón,4,Kia,10
97,San Miguel,4,Kia,10
98,Huechuraba,4,Kia,9
99,Independencia,4,Kia,8
100,Estación Central,4,Kia,8
