,state,catId,catName,category
0,Buin,1,Blanco,6
1,Calera de Tango,1,Blanco,4
2,Cerrillos,1,Blanco,19
3,Cerro Navia,1,Blanco,5
4,Colina,1,Blanco,7
5,Conchalí,1,Blanco,11
6,El Bosque,1,Blanco,9
7,Estación Central,1,Blanco,17
8,Huechuraba,1,Blanco,17
9,Independencia,1,Blanco,9
10,Isla de Maipo,1,Blanco,2
11,La Cisterna,1,Blanco,13
12,La Florida,1,Blanco,39
13,La Granja,1,Blanco,8
14,La Pintana,1,Blanco,6
15,La Reina,1,Blanco,25
16,Las Condes,1,Blanco,95
17,Lo Barnechea,1,Blanco,30
18,Lo Espejo,1,Blanco,9
19,Lo Prado,1,Blanco,10
20,Macul,1,Blanco,17
21,Maipú,1,Blanco,38
22,María Pinto,1,Blanco,1
23,Melipilla,1,Blanco,5
24,Ñuñoa,1,Blanco,39
25,Otra,1,Blanco,10
26,Pedro Aguirre Cerda,1,Blanco,8
27,Peñaflor,1,Blanco,1
28,Peñalolén,1,Blanco,23
29,Pirque,1,Blanco,1
30,Providencia,1,Blanco,62
31,Pudahuel,1,Blanco,19
32,Puente Alto,1,Blanco,18
33,Quilicura,1,Blanco,19
34,Quinta Normal,1,Blanco,18
35,Recoleta,1,Blanco,21
36,Renca,1,Blanco,9
37,San Bernardo,1,Blanco,20
38,San Joaquín,1,Blanco,13
39,San Miguel,1,Blanco,24
40,San Ramón,1,Blanco,4
41,Santiago,1,Blanco,344
42,Talagante,1,Blanco,8
43,Tiltil,1,Blanco,1
44,Vitacura,1,Blanco,69
45,Lampa,1,Blanco,4
46,Cerrillos,2,Plateado,11
47,Cerro Navia,2,Plateado,3
48,Colina,2,Plateado,5
49,Conchalí,2,Plateado,12
50,El Bosque,2,Plateado,5
51,Estación Central,2,Plateado,5
52,Huechuraba,2,Plateado,19
53,Independencia,2,Plateado,12
54,La Cisterna,2,Plateado,10
55,La Florida,2,Plateado,26
56,La Granja,2,Plateado,2
57,La Pintana,2,Plateado,4
58,La Reina,2,Plateado,18
59,Las Condes,2,Plateado,62
60,Lo Barnechea,2,Plateado,39
61,Lo Espejo,2,Plateado,3
62,Lo Prado,2,Plateado,3
63,Macul,2,Plateado,17
64,Maipú,2,Plateado,34
65,Melipilla,2,Plateado,1
66,Ñuñoa,2,Plateado,47
67,Otra,2,Plateado,5
68,Pedro Aguirre Cerda,2,Plateado,4
69,Peñaflor,2,Plateado,1
70,Peñalolén,2,Plateado,21
71,Providencia,2,Plateado,80
72,Pudahuel,2,Plateado,8
73,Puente Alto,2,Plateado,10
74,Quilicura,2,Plateado,5
75,Quinta Normal,2,Plateado,10
76,Recoleta,2,Plateado,8
77,Renca,2,Plateado,12
78,San Bernardo,2,Plateado,8
79,San Joaquín,2,Plateado,7
80,San Miguel,2,Plateado,28
81,San Ramón,2,Plateado,5
82,Santiago,2,Plateado,306
83,Talagante,2,Plateado,1
84,Vitacura,2,Plateado,67
85,Lampa,2,Plateado,1
86,Buin,3,Gris,3
87,Calera de Tango,3,Gris,1
88,Cerrillos,3,Gris,8
89,Cerro Navia,3,Gris,1
90,Colina,3,Gris,2
91,Conchalí,3,Gris,6
92,El Bosque,3,Gris,8
93,Estación Central,3,Gris,10
94,Huechuraba,3,Gris,16
95,Independencia,3,Gris,4
96,La Cisterna,3,Gris,5
97,La Florida,3,Gris,15
98,La Granja,3,Gris,8
99,La Pintana,3,Gris,4
100,La Reina,3,Gris,10
101,Las Condes,3,Gris,45
102,Lo Barnechea,3,Gris,32
103,Lo Espejo,3,Gris,5
