,state,catId,catName,category,
0,Cerrillos,1,2018,1,
1,Colina,1,2018,3,
2,Conchalí,1,2018,3,
3,El Bosque,1,2018,6,
4,Estación Central,1,2018,2,
5,Independencia,1,2018,4,
6,La Cisterna,1,2018,8,
7,La Florida,1,2018,4,
8,La Granja,1,2018,1,
9,La Pintana,1,2018,6,
10,Lampa,1,2018,2,
11,Las Condes,1,2018,2,
12,Lo Espejo,1,2018,1,
13,Lo Prado,1,2018,2,
14,Macul,1,2018,2,
15,Maipú,1,2018,6,
16,Ñuñoa,1,2018,5,
17,Otra,1,2018,1,
18,Providencia,1,2018,1,
19,Pudahuel,1,2018,3,
20,Puente Alto,1,2018,4,
21,Quilicura,1,2018,1,
22,Quinta Normal,1,2018,5,
23,Recoleta,1,2018,3,
24,San Bernardo,1,2018,4,
25,San Joaquín,1,2018,2,
26,San Miguel,1,2018,2,
27,San Ramón,1,2018,2,
28,Santiago,1,2018,73,
29,Vitacura,1,2018,2,
30,Buin,2,2017,1,
31,Calera de Tango,2,2017,2,
32,Cerrillos,2,2017,2,
33,Cerro Navia,2,2017,2,
34,Colina,2,2017,2,
35,Conchalí,2,2017,1,
36,El Bosque,2,2017,5,
37,Estación Central,2,2017,2,
38,Huechuraba,2,2017,2,
39,Independencia,2,2017,2,
40,La Cisterna,2,2017,6,
41,La Florida,2,2017,11,
42,La Granja,2,2017,3,
43,La Pintana,2,2017,5,
44,La Reina,2,2017,3,
45,Lampa,2,2017,1,
46,Las Condes,2,2017,2,
47,Lo Barnechea,2,2017,2,
48,Lo Espejo,2,2017,1,
49,Macul,2,2017,1,
50,Maipú,2,2017,9,
51,Ñuñoa,2,2017,5,
52,Otra,2,2017,12,
53,Padre Hurtado,2,2017,1,
54,Pedro Aguirre Cerda,2,2017,2,
55,Providencia,2,2017,13,
56,Pudahuel,2,2017,5,
57,Puente Alto,2,2017,3,
58,Quilicura,2,2017,6,
59,Quinta Normal,2,2017,6,
60,Recoleta,2,2017,4,
61,Renca,2,2017,6,
62,San Bernardo,2,2017,5,
63,San Joaquín,2,2017,5,
64,San Miguel,2,2017,9,
65,San Ramón,2,2017,1,
66,Santiago,2,2017,96,
67,Vitacura,2,2017,2,
68,Cerrillos,3,2016,4,
69,Cerro Navia,3,2016,2,
70,Conchalí,3,2016,1,
71,El Bosque,3,2016,3,
72,Estación Central,3,2016,3,
73,Huechuraba,3,2016,2,
74,Independencia,3,2016,2,
75,La Cisterna,3,2016,7,
76,La Florida,3,2016,4,
77,La Granja,3,2016,3,
78,La Pintana,3,2016,6,
79,La Reina,3,2016,1,
80,Lampa,3,2016,4,
81,Las Condes,3,2016,3,
82,Lo Barnechea,3,2016,2,
83,Lo Espejo,3,2016,3,
84,Macul,3,2016,2,
85,Maipú,3,2016,8,
86,Ñuñoa,3,2016,3,
87,Otra,3,2016,11,
88,Pedro Aguirre Cerda,3,2016,1,
89,Peñalolén,3,2016,2,
90,Providencia,3,2016,5,
