,state,catId,catName,category
0,El Bosque,3,2016,1
1,La Cisterna,3,2016,2
2,La Florida,3,2016,2
3,La Granja,3,2016,1
4,La Pintana,3,2016,2
5,La Reina,3,2016,1
6,Las Condes,3,2016,1
7,Lo Barnechea,3,2016,1
8,Maipú,3,2016,2
9,Ñuñoa,3,2016,5
10,Pudahuel,3,2016,1
11,Puente Alto,3,2016,1
12,San Joaquín,3,2016,1
13,San Miguel,3,2016,2
14,Santiago,3,2016,8
15,Vitacura,3,2016,1
16,Cerrillos,4,2015,1
17,Cerro Navia,4,2015,3
18,Conchalí,4,2015,2
19,Curacaví,4,2015,1
20,El Bosque,4,2015,8
21,Estación Central,4,2015,4
22,Huechuraba,4,2015,12
23,La Cisterna,4,2015,12
24,La Florida,4,2015,22
25,La Granja,4,2015,3
26,La Pintana,4,2015,3
27,La Reina,4,2015,6
28,Las Condes,4,2015,15
29,Lo Barnechea,4,2015,9
30,Lo Espejo,4,2015,2
31,Lo Prado,4,2015,3
32,Macul,4,2015,8
33,Maipú,4,2015,12
34,Ñuñoa,4,2015,23
35,Otra,4,2015,4
36,Peñalolén,4,2015,5
37,Pirque,4,2015,1
38,Providencia,4,2015,9
39,Pudahuel,4,2015,16
40,Puente Alto,4,2015,7
41,Quilicura,4,2015,9
42,Quinta Normal,4,2015,3
43,Recoleta,4,2015,5
44,Renca,4,2015,5
45,San Bernardo,4,2015,5
46,San Joaquín,4,2015,1
47,San Miguel,4,2015,9
48,San Ramón,4,2015,2
49,Santiago,4,2015,136
50,Talagante,4,2015,2
51,Vitacura,4,2015,19
52,Buin,5,2014,1
53,Calera de Tango,5,2014,1
54,Cerrillos,5,2014,10
55,Cerro Navia,5,2014,2
56,Colina,5,2014,6
57,Conchalí,5,2014,7
58,El Bosque,5,2014,9
59,Estación Central,5,2014,4
60,Huechuraba,5,2014,8
61,Independencia,5,2014,3
62,La Cisterna,5,2014,23
63,La Florida,5,2014,44
64,La Granja,5,2014,7
65,La Pintana,5,2014,10
66,La Reina,5,2014,12
67,Las Condes,5,2014,26
68,Lo Barnechea,5,2014,4
69,Lo Espejo,5,2014,4
