,state,catId,catName,category
0,AK,1,Arts & Culture,5
1,AK,2,Career & Business,13
2,AK,3,Cars & Motorcycles,3
3,AK,4,Community & Environment,4
4,AK,5,Dancing,5
5,AK,6,Education & Learning,5
6,AK,9,Fitness,7
7,AK,10,Food & Drink,8
8,AK,11,Games,2
9,AK,12,LGBT,2
10,AK,13,Movements & Politics,4
11,AK,14,Health & Wellbeing,12
12,AK,15,Hobbies & Crafts,6
13,AK,16,Language & Ethnic Identity,8
14,AK,17,Lifestyle,5
15,AK,18,Book Clubs,1
16,AK,20,Movies & Film,2
17,AK,21,Music,4
18,AK,22,New Age & Spirituality,15
19,AK,23,Outdoors & Adventure,17
20,AK,24,Paranormal,1
21,AK,25,Parents & Family,7
22,AK,26,Pets & Animals,7
23,AK,27,Photography,3
24,AK,28,Religion & Beliefs,6
25,AK,31,Socializing,4
26,AK,32,Sports & Recreation,5
27,AK,33,Support,2
28,AK,34,Tech,9
29,AK,36,Writing,4
30,AL,1,Arts & Culture,2
31,AL,2,Career & Business,28
32,AL,3,Cars & Motorcycles,1
33,AL,4,Community & Environment,3
34,AL,5,Dancing,6
35,AL,6,Education & Learning,2
36,AL,9,Fitness,6
37,AL,10,Food & Drink,11
38,AL,11,Games,9
39,AL,12,LGBT,5
40,AL,13,Movements & Politics,9
41,AL,14,Health & Wellbeing,15
42,AL,15,Hobbies & Crafts,4
43,AL,16,Language & Ethnic Identity,6
44,AL,18,Book Clubs,2
45,AL,20,Movies & Film,4
46,AL,21,Music,4
47,AL,22,New Age & Spirituality,12
48,AL,23,Outdoors & Adventure,17
49,AL,24,Paranormal,1
50,AL,25,Parents & Family,5
51,AL,26,Pets & Animals,2
52,AL,27,Photography,2
53,AL,28,Religion & Beliefs,12
54,AL,29,Sci-Fi & Fantasy,3
55,AL,30,Singles,1
56,AL,31,Socializing,17
57,AL,32,Sports & Recreation,5
58,AL,33,Support,4
59,AL,34,Tech,25
60,AL,36,Writing,6
61,AZ,1,Arts & Culture,4
62,AZ,2,Career & Business,40
63,AZ,3,Cars & Motorcycles,6
64,AZ,4,Community & Environment,4
65,AZ,5,Dancing,5
66,AZ,6,Education & Learning,2
67,AZ,9,Fitness,6
68,AZ,10,Food & Drink,3
69,AZ,11,Games,6
70,AZ,12,LGBT,3
71,AZ,13,Movements & Politics,3
72,AZ,14,Health & Wellbeing,13
73,AZ,15,Hobbies & Crafts,4
74,AZ,16,Language & Ethnic Identity,7
75,AZ,17,Lifestyle,2
76,AZ,18,Book Clubs,1
77,AZ,20,Movies & Film,4
78,AZ,21,Music,6
79,AZ,22,New Age & Spirituality,14
80,AZ,23,Outdoors & Adventure,10
81,AZ,25,Parents & Family,1
82,AZ,26,Pets & Animals,1
83,AZ,27,Photography,2
84,AZ,28,Religion & Beliefs,3
85,AZ,31,Socializing,10
86,AZ,32,Sports & Recreation,7
87,AZ,33,Support,1
88,AZ,34,Tech,27
89,AZ,36,Writing,5
90,CA,1,Arts & Culture,9
91,CA,2,Career & Business,29
92,CA,3,Cars & Motorcycles,4
93,CA,4,Community & Environment,1
94,CA,5,Dancing,1
95,CA,6,Education & Learning,6
96,CA,9,Fitness,1
97,CA,10,Food & Drink,3
98,CA,11,Games,2
99,CA,12,LGBT,6
100,CA,13,Movements & Politics,2
101,CA,14,Health & Wellbeing,6
102,CA,15,Hobbies & Crafts,2
103,CA,16,Language & Ethnic Identity,8
104,CA,18,Book Clubs,1
105,CA,20,Movies & Film,6
106,CA,21,Music,7
107,CA,22,New Age & Spirituality,12
108,CA,23,Outdoors & Adventure,6
109,CA,25,Parents & Family,2
110,CA,27,Photography,7
111,CA,31,Socializing,6
112,CA,32,Sports & Recreation,11
113,CA,33,Support,4
114,CA,34,Tech,55
115,CA,36,Writing,3
116,CO,1,Arts & Culture,7
117,CO,2,Career & Business,37
118,CO,3,Cars & Motorcycles,1
119,CO,4,Community & Environment,5
120,CO,5,Dancing,2
121,CO,6,Education & Learning,2
122,CO,9,Fitness,4
123,CO,10,Food & Drink,5
124,CO,11,Games,7
125,CO,12,LGBT,6
126,CO,13,Movements & Politics,1
127,CO,14,Health & Wellbeing,10
128,CO,15,Hobbies & Crafts,2
129,CO,16,Language & Ethnic Identity,6
130,CO,18,Book Clubs,2
131,CO,20,Movies & Film,1
132,CO,21,Music,4
133,CO,22,New Age & Spirituality,3
134,CO,23,Outdoors & Adventure,11
135,CO,25,Parents & Family,1
136,CO,26,Pets & Animals,1
137,CO,27,Photography,2
138,CO,28,Religion & Beliefs,3
139,CO,29,Sci-Fi & Fantasy,1
140,CO,30,Singles,3
141,CO,31,Socializing,16
142,CO,32,Sports & Recreation,3
143,CO,33,Support,4
144,CO,34,Tech,48
145,CO,36,Writing,2
146,CT,1,Arts & Culture,4
147,CT,2,Career & Business,16
148,CT,3,Cars & Motorcycles,2
149,CT,4,Community & Environment,2
150,CT,5,Dancing,9
151,CT,6,Education & Learning,6
152,CT,9,Fitness,7
153,CT,10,Food & Drink,7
154,CT,11,Games,2
155,CT,12,LGBT,7
156,CT,13,Movements & Politics,4
157,CT,14,Health & Wellbeing,20
158,CT,15,Hobbies & Crafts,1
159,CT,16,Language & Ethnic Identity,8
160,CT,17,Lifestyle,1
161,CT,18,Book Clubs,6
162,CT,20,Movies & Film,3
163,CT,21,Music,4
164,CT,22,New Age & Spirituality,6
165,CT,23,Outdoors & Adventure,11
166,CT,25,Parents & Family,3
167,CT,26,Pets & Animals,2
168,CT,27,Photography,3
169,CT,28,Religion & Beliefs,5
170,CT,29,Sci-Fi & Fantasy,2
171,CT,31,Socializing,20
172,CT,32,Sports & Recreation,7
173,CT,33,Support,8
174,CT,34,Tech,21
175,CT,36,Writing,3
176,DC,1,Arts & Culture,2
177,DC,2,Career & Business,20
178,DC,4,Community & Environment,5
179,DC,5,Dancing,4
180,DC,6,Education & Learning,3
181,DC,9,Fitness,6
182,DC,10,Food & Drink,5
183,DC,11,Games,5
184,DC,12,LGBT,5
185,DC,13,Movements & Politics,3
186,DC,14,Health & Wellbeing,9
187,DC,15,Hobbies & Crafts,1
188,DC,16,Language & Ethnic Identity,23
189,DC,18,Book Clubs,5
190,DC,20,Movies & Film,2
191,DC,21,Music,6
192,DC,22,New Age & Spirituality,4
193,DC,23,Outdoors & Adventure,13
194,DC,25,Parents & Family,2
195,DC,26,Pets & Animals,2
196,DC,27,Photography,3
197,DC,28,Religion & Beliefs,6
198,DC,29,Sci-Fi & Fantasy,1
199,DC,30,Singles,3
200,DC,31,Socializing,18
201,DC,32,Sports & Recreation,7
202,DC,33,Support,2
203,DC,34,Tech,32
204,DC,36,Writing,3
205,DE,1,Arts & Culture,4
206,DE,2,Career & Business,20
207,DE,3,Cars & Motorcycles,4
208,DE,4,Community & Environment,5
209,DE,5,Dancing,2
210,DE,6,Education & Learning,3
211,DE,8,Fashion & Beauty,1
212,DE,9,Fitness,8
213,DE,10,Food & Drink,8
214,DE,11,Games,10
215,DE,12,LGBT,2
216,DE,13,Movements & Politics,5
217,DE,14,Health & Wellbeing,16
218,DE,15,Hobbies & Crafts,3
219,DE,16,Language & Ethnic Identity,4
220,DE,18,Book Clubs,4
221,DE,20,Movies & Film,3
222,DE,21,Music,4
223,DE,22,New Age & Spirituality,12
224,DE,23,Outdoors & Adventure,10
225,DE,24,Paranormal,2
226,DE,25,Parents & Family,7
227,DE,26,Pets & Animals,1
228,DE,27,Photography,2
229,DE,28,Religion & Beliefs,7
230,DE,29,Sci-Fi & Fantasy,2
231,DE,30,Singles,1
232,DE,31,Socializing,21
233,DE,32,Sports & Recreation,6
234,DE,33,Support,1
235,DE,34,Tech,11
236,DE,36,Writing,7
