state,code,col,row
María Pinto,María Pinto,1,2
San Pedro,San Pedro,0,5
Independencia,Independencia,5,1
La Florida,La Florida,8,4
Lo Barnechea,Lo Barnechea,8,0
Lo Espejo,Lo Espejo,4,4
Lo Prado,Lo Prado,3,2
Pedro Aguirre Cerda,Pedro Aguirre Cerda,4,3
Pudahuel,Pudahuel,2,2
San Joaquín,San Joaquín,6,3
San Ramón,San Ramón,6,4
El Monte,El Monte,1,3
Isla de Maipo,Isla de Maipo,3,6
Talagante,Talagante,2,5
Colina,Colina,7,0
Lampa,Lampa,2,1
Tiltil,Tiltil,2,0
Pirque,Pirque,6,6
Puente Alto,Puente Alto,7,5
San José de Maipo,San José de Maipo,9,4
Buin,Buin,5,6
Paine,Paine,4,6
San Bernardo,San Bernardo,4,5
Alhué,Alhué,2,6
Curacaví,Curacaví,1,1
Calera de Tango,Calera de Tango,3,5
Melipilla,Melipilla,1,4
Cerrillos,Cerrillos,3,3
Cerro Navia,Cerro Navia,3,1
Conchalí,Conchalí,5,0
El Bosque,El Bosque,5,5
Peñalolén,Peñalolén,8,3
Providencia,Providencia,6,2
Quilicura,Quilicura,3,0
Vitacura,Vitacura,7,1
Padre Hurtado,Padre Hurtado,2,3
Quinta Normal,Quinta Normal,4,1
Recoleta,Recoleta,6,1
Renca,Renca,4,0
San Miguel,San Miguel,5,3
Santiago,Santiago,5,2
Huechuraba,Huechuraba,6,0
La Cisterna,La Cisterna,5,4
La Granja,La Granja,7,4
La Pintana,La Pintana,6,5
La Reina,La Reina,8,2
Las Condes,Las Condes,8,1
Macul,Macul,7,3
Maipú,Maipú,3,4
Ñuñoa,Ñuñoa,7,2
Peñaflor,Peñaflor,2,4
Estación Central,Estación Central,4,2
